text,category,priority
"The student portal is returning a 500 error during my final thesis upload. The window for submission closes in exactly 90 minutes. I have tried clearing my cache and using a different browser, but the issue persists.",Technical,High
I would like to appeal a parking fine I received. I have a valid permit but it was obscured by snow.,Administration,Medium
payroll issue clarification request,Finance,Medium
I am an international applicant and I'm having trouble with the online application portal. It keeps freezing.,Admissions,Medium
I need to find out who my academic advisor is. I need to get my graduation application signed today.,Academic,High
The university's online grade portal is down and I need to check my GPA for a scholarship application that is due in 30 minutes. Please fix it now!,Technical,High
someone has stolen my identity and used my student credentials to change my emergency contact and personal info. I need an immediate lock.,Administration,High
The light above my dorm vanity is flickering.,Housing,Low
where can i request official transcript?,Administration,Low
administration office transcript verification pending,Administration,Medium
i'm having trouble with my university email. it keeps saying my account is disabled.,Technical,Medium
I NEED TO KNOW MY GPA RIGHT NOW FOR AN INTERNSHIP APPLICATION PLS HELP ME I AM SO ANXIOUS!!!!!!!!!!,Academic,Low
I NEED TO KNOW IF THE ADMISSIONS OFFICE HAS A LIFT BECAUSE I HAVE A HEAVY BOX HELP ME ASAP!!!!!,Admissions,Low
the bathroom in my dorm room is flooding. water is covering the entire floor and moving into the hallway.,Housing,High
i am calm but the registration system is down and my window for selecting my final year capstone class ends in 1 hour.,Academic,High
The university's email server is being used for a massive phishing attack and I think my personal info is stolen.,Technical,High
Can I borrow additional library books?,Library,Low
can you tell me where the finance office is located? i am new to campus.,Finance,Low
Can I get a copy of the university's policy on academic integrity?,Academic,Low
There is a loose floorboard in the hallway outside my dorm room that is a tripping hazard.,Housing,Medium
My scholarship check was lost in the mail and I need to request a new one. My tuition is due in three days.,Finance,High
I'm having trouble with the online portal for my student application programming interface request account.,Technical,Medium
The system keeps saying file too large when I try to upload my 1KB doc. Admissions deadline is in 20 mins.,Technical,High
payment confirmation email not received yet,Finance,Medium
pls fix my grade... prof said it was an A but portal says B. thx.,Academic,Medium
i want to know if the library has a copy of the textbook for my history class.,Library,Low
is there any way to change my meal plan from 10 meals a week to 15? i am always hungry in the evenings.,Housing,Medium
i'm tryin to figure out if i can get a bigger desk for my room bc this one is tiny. no rush tho thx.,Housing,Low
The MFA phone call option is not working and I am traveling internationally. I have a placement test in 1 hour.,Technical,High
i'm having trouble with the university's printer. it's not recognizing my student id card when i tap it on the sensor to pay.,Technical,Medium
"I noticed that my private student records, including my SSN, are visible in the public student directory. This needs to be fixed now.",Administration,High
I would like to inquire about the status of my application for a tuition installment plan for the Spring semester.,Finance,Medium
I AM BEGGING YOU!! My application says 'Incomplete' because of my counselor's letter but she said she sent it twice!!,Admissions,Medium
how do i change my major from biology to psychology? i've decided that i don't like science anymore.,Academic,Low
the portal is saying i'm 'rejected' after i already received an 'accepted' letter. i need to know my real status before i move tomorrow.,Admissions,High
The stove in the communal dorm kitchen is only heating up on two of the four burners. Can someone take a look?,Housing,Medium
Can someone please explain why my FAFSA data is showing as 'Not Received' in my portal when it was sent weeks ago?,Finance,Medium
I am getting an error code 500 when trying to access the student portal from my laptop.,Technical,Medium
i lost my physical id card but i have a digital copy. can i use that to enter the testing center today?,Administration,Medium
I am being harassed by a former roommate in the residence hall. I don't feel safe in my room tonight.,Housing,High
I NEED TO KNOW IF THE LIBRARY HAS ANY PENS I FORGOT MINE AT HOME AND I HAVE A TEST IN 5 MINS HELP!!!!!!!,Library,Low
I am an international student and I'm confused about the tax filing requirements for student workers.,Finance,Medium
THE WIFI IN THE LIBRARY IS SOOOOO SLOW I CANT EVEN WATCH MY LECTURE PLS FIX IT NOW I AM GOING CRAZY!!!!!!!,Technical,Medium
i am writing to request a name correction on my records. my middle initial is 'j' not 'k'. there is no rush for this change.,Administration,Low
i need to talk to someone about my meal plan charges. i think i was billed for the premium one by mistake.,Finance,Medium
finance office partial fee adjustment request,Finance,Medium
